Município;AIDS - Ações Estratégicas;Acomp. Pac. Saúde Mental - Ações Estratégic. - SIA;Acomp. de paciente - Ações Estratégicas - SIA;Acomp. pós transplante - Ações Estratégicas;Acompanh. a def. auditivo - Ações Estratégicas;Aids - Ações Estratégicas - AIH;Angioplastia endovascular - SIH;Anvisa - Taxa de fiscalização;Apoio à população indígena;Assistência domiciliar - Ações Estratégicas SIA;Assistência pré-natal - AIH;CAPS I - Incent. Cust. Centros At. Psicossocial;Campanha de vacinação do idoso;Central de Regulação - Ações Estratégicas;Central de Regulação - Ações Estratétgicas - SIA;Câncer de colo uterino - Ações Estratégicas;Deformidade crânio-facial - Ações Estrategicas;Epidemiologia e controle de doenças;Epidemiologia e controle de doenças (adicional);Epilepsia - SIH;Farmácia básica;Financ aos Centros de Referência Saúde Trabalhador;Fisioterapia -  - Ações Estratégicas SIA;Gastroplastia - Ações Estratégicas;Geriatria - Ações Estratégicas - AIH;Gestão plena do sistema estadual (NOAS);Gestão plena sistema municipal - média complex;Inc. Apoio Lab. Monitoramento do AEDES AEGYPTI;Inc. Fortalecimento Gestão de Vigilância em Saúde;Inc. Hosp. Subsist. Vig. Ep. en Âmbito Hospitalar;Incent. Prog. Nacional de HIV/AIDS e outras DST;Incentivo Adicional ao CEO;Incentivo CNRAC - Ações Estratégicas - SIA;Incentivo Estabelecimento de Parcerias com as OSC;Incentivo a ações básicas vigilância sanitária;Incentivo fortalec lab centr saúde pública - LACEN;Incentivo para Casa de Apoio HIV/AIDS;Incentivo à Farmácia Popular do Brasil;Incentivo à Saúde no Sistema Penitenciário;Incentivo à saúde bucal;Leucemia mielóide - SIA;MAC vigilância sanitária;Medicamentos dos Grupos AR 0,95;Medicamentos dos Grupos HD 1,15;Medicamentos excepcionais pacientes crônicos;Medicamentos para saúde mental;Multirão de Cirurgias Eletivas Média Complexidade;Neonatal - Ações Estratégicas- SIA;Neurocirurgia - SIH;Ortodontia - Ações Estratégicas;Osteogenesis Imperfecta - AIH;Patologia clínica - Ações Estratégicas SIA;Piso de atenção básica - fixo;Programa Farmácia Popular do Brasil;Programa agentes comunitários de saúde;Programa de Especialidade Odontológica;Programa de Saúde da Família;Pré-natal - Ações Estratégicas;Prótese Dentária - Ações Estratégicas - SIA;Psicodiagnóstico - Ações Estratégicas SIA;Queimados - Ações Estratégicas;Reabilitação - Ações Estratégicas;Registro Civil e Nascimento - AIH;Registro de Câncer de Base Populacional - RCBP;Serviços Atendimento Móvel de Urgências - SAMU;Terapia e psicoterapia - Ações Estratégicas SIA;Terapia renal substitutiva - SIA;Transplantes - Ações Estratégicas;Tuberculose - Ações Estratégicas;Total
351030 Capela do Alto;-;-;-;-;-;-;-;136,88;-;-;-;-;205,75;-;-;-;-;1955,87;-;-;2106,23;-;-;-;-;-;-;-;-;-;-;-;-;-;342,19;-;-;-;-;-;-;136,88;1269,04;1536,21;-;-;-;-;-;-;-;-;17793,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25482,8
351040 Capivari;-;27764,35;-;-;-;40;-;383,41;-;-;1280;-;644,98;-;-;134;-;5608,37;-;-;6008,89;-;155,76;-;-;-;248003,03;-;-;-;-;-;-;-;958,52;-;-;-;-;-;-;383,41;3577,3;4330,42;-;-;-;-;-;-;-;-;49843,08;-;3850;-;5400;730;-;178,1;-;-;-;-;-;1272,43;-;-;63;360609,05
351050 Caraguatatuba;-;9150,25;-;-;-;130;-;793,64;-;68,4;2560;-;1165,95;-;-;601;-;11000,66;-;-;11954,8;-;778,8;-;-;-;253296,28;-;-;-;25000;-;-;-;1984,1;-;-;-;-;-;-;952,37;7305,74;8843,79;-;-;-;37,5;-;-;-;-;103173,42;-;53550;-;108000;980;-;-;-;-;140;-;-;2724,96;-;-;-;604191,66
351060 Carapicuíba;-;-;-;-;-;-;-;-;-;-;-;-;2883,14;-;-;-;-;60258,53;-;-;49963,1;-;-;-;-;-;-;-;-;-;-;-;-;-;7974,42;-;-;-;-;-;-;-;29755,5;36019,82;-;-;-;-;-;-;-;-;414669,67;10000;-;8800;-;-;-;-;-;-;-;-;-;-;-;-;-;620324,18
351070 Cardoso;-;-;-;-;-;-;-;94,97;-;-;-;-;220,28;-;-;-;-;2101,3;-;-;1566,95;-;-;-;-;-;-;-;-;-;-;-;-;-;232,94;-;-;-;-;-;-;94,97;891,26;1078,89;-;-;-;-;-;-;-;-;12112,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18394,31
351080 Casa Branca;-;-;-;-;-;-;-;231,13;-;-;-;-;517,26;-;-;-;-;3581,51;-;-;3748,25;-;-;-;-;-;-;-;-;-;-;-;-;-;577,81;-;-;-;-;3400;-;231,13;2182,23;2641,65;-;-;-;-;-;-;-;-;30049,5;-;7000;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;64960,47
351090 Cássia dos Coqueiros;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;389,43;-;-;401,23;-;-;-;-;-;-;-;-;-;-;-;-;-;61,79;-;-;-;-;-;-;-;233,46;282,61;-;-;-;-;-;-;-;-;3213,17;-;2100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6771,79
351100 Castilho;-;-;-;-;-;-;-;-;-;-;-;-;248,62;-;-;-;-;2754,05;560,55;-;2069,79;-;-;-;-;-;-;-;-;-;-;-;-;-;315,85;-;-;-;-;2550;-;-;1197,16;1449,19;-;-;-;-;-;-;-;-;17811,08;-;13300;-;8100;-;-;-;-;-;-;-;-;-;-;-;-;50356,29
351110 Catanduva;-;-;-;-;-;-;-;960,73;-;1752,75;-;-;2146,18;-;-;392;-;19985,63;2910,79;-;15192,24;-;854,32;-;-;-;499107,02;-;-;-;25508,42;-;-;-;2401,81;-;-;-;-;22100;-;1152,87;8991,59;10884,56;-;-;-;-;-;-;-;-;124894,25;10000;28350;8800;86400;1260;1380;-;-;-;-;-;84000;8284,77;-;-;4,2;967714,13
351120 Catiguá;-;-;-;-;-;-;-;56,16;-;-;-;-;108,29;-;-;-;-;868,5;-;-;913,83;-;-;-;-;-;-;-;-;-;-;-;-;-;140,4;-;-;-;-;-;-;56,16;530,89;642,66;-;-;-;-;-;-;-;-;7300,58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10617,47
351130 Cedral;-;-;-;-;-;-;-;61,03;-;-;-;-;162,28;-;-;-;-;1266,3;-;-;963,46;-;-;-;-;-;-;-;-;-;-;-;-;-;152,58;-;-;-;-;-;-;61,03;570,87;691,05;-;-;-;-;-;-;-;-;7934,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11862,93
351140 Cerqueira César;-;-;-;-;-;-;-;138,17;-;-;-;-;272,5;-;-;-;-;2064,16;-;-;2179,38;-;-;-;-;-;-;-;-;-;-;-;-;-;345,42;-;-;-;-;1700;-;138,17;1292;1564;-;-;-;-;-;-;-;-;17961,67;-;3850;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;36905,47
351150 Cerquilho;-;-;-;-;-;-;-;295,29;-;-;-;-;493,08;-;-;309;-;4101,72;-;-;4458,02;-;-;-;-;-;94452,03;-;-;-;-;-;-;-;738,23;-;-;-;-;-;-;354,35;2720,32;3293,03;-;-;-;-;-;-;-;-;38387,92;-;11200;-;43200;220;-;-;-;-;55;-;-;1446,1;-;-;29,4;205753,49
351160 Cesário Lange;-;-;-;-;-;-;-;116,39;-;-;-;-;200,85;-;-;-;-;1733,16;-;-;1844,7;-;-;-;-;-;-;-;-;-;-;-;-;-;290,98;-;-;-;-;-;-;116,39;1090,2;1319,72;-;-;-;-;-;-;-;-;15130,92;-;3150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24993,31
351170 Charqueada;-;-;-;-;-;-;-;120,66;-;-;-;-;210,2;-;-;-;-;1768,34;-;-;1890,08;-;-;-;-;-;-;-;-;-;-;-;-;-;301,65;-;-;-;-;-;-;120,66;1125,59;1362,56;-;-;-;-;-;-;-;-;15685,58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22585,32
355720 Chavantes;-;-;-;-;-;-;-;-;-;-;-;-;185,13;-;-;-;-;1612,27;-;-;1696,75;-;-;-;-;-;-;-;-;-;-;-;-;-;260,21;-;-;-;-;-;-;-;984,6;1191,88;-;-;-;-;-;-;-;-;13530,83;-;1750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21211,67
351190 Clementina;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;727,87;-;-;765,05;-;-;-;-;-;-;-;-;-;-;-;-;-;119,38;-;-;-;-;1700;-;-;448,95;543,47;-;-;-;-;-;-;-;-;6670,68;-;4550;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;26415,5
351200 Colina;-;-;-;-;-;-;-;142,81;-;-;680;-;269,98;-;-;191;-;3084,17;-;-;2323,34;-;-;-;-;-;58490,43;-;-;-;-;-;-;-;357,02;-;-;-;-;-;-;142,81;1349,87;1634,05;-;-;-;13;-;-;-;-;18565,08;-;9100;-;-;100;-;-;-;-;-;-;-;-;-;-;-;96443,56
351210 Colômbia;-;-;-;-;-;-;-;53,13;-;-;-;-;90,1;-;-;-;-;1117,83;-;-;847,14;-;-;-;-;-;-;-;-;-;-;-;-;-;132,81;-;-;-;-;2550;-;53,13;498,67;603,65;-;-;-;-;-;-;-;-;7002,67;-;4200;-;13500;-;-;-;-;-;-;-;-;-;-;-;-;30649,13
351220 Conchal;-;-;-;-;-;-;-;206,74;-;-;480;-;291,78;-;-;226;-;4289,74;-;-;3262,19;-;-;-;-;-;86163,8;-;-;-;-;-;-;-;516,85;-;-;-;-;1700;-;248,09;1933,41;2340,44;-;-;-;7;-;-;-;-;26876,42;-;6300;-;16200;530;-;-;209,93;-;95;-;-;372,3;-;-;67,2;152316,89
351230 Conchas;-;-;-;-;-;-;-;139,93;-;-;80;-;323,08;-;-;138;-;2050,58;-;-;2176,9;-;-;-;-;-;63854,8;-;-;-;-;-;-;-;349,83;-;-;-;-;-;-;167,92;1302,29;1576,46;-;-;-;-;-;-;-;-;18191,33;-;8750;-;27000;130;-;-;-;-;-;-;-;571,2;-;-;-;126802,32
351240 Cordeirópolis;-;-;-;-;-;-;-;-;-;-;-;-;286,44;-;-;-;-;2410,58;-;-;2598,89;-;-;-;-;-;-;-;-;-;-;-;-;-;422;-;-;-;-;-;-;-;1565,36;1894,91;-;-;-;-;-;-;-;-;21954,83;-;8400;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;44933,01
351250 Coroados;-;-;-;-;-;-;-;38,83;-;-;-;-;90,1;-;-;-;-;824,61;165,64;-;623,7;-;-;-;-;-;-;-;-;-;-;-;-;-;97,06;-;-;-;-;1700;-;38,83;365,35;442,27;-;-;-;-;-;-;-;-;5047,25;-;3850;-;10800;-;-;-;-;-;-;-;-;-;-;-;-;24083,64
351260 Coronel Macedo;-;-;-;-;-;-;-;46,16;-;-;-;-;90,1;-;-;-;-;742,02;-;-;761,61;-;-;-;-;-;-;-;-;-;-;-;-;-;114,33;-;-;-;-;-;-;46,16;435,89;527,66;-;-;-;-;-;-;-;-;5945,33;-;2450;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11159,26
351270 Corumbataí;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;510,64;-;-;548,76;-;-;-;-;-;-;-;-;-;-;-;-;-;87,38;-;-;-;-;-;-;-;326,25;394,93;-;-;-;-;-;-;-;-;4543,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6501,56
351280 Cosmópolis;-;7781,3;-;-;-;-;-;413,21;-;42,75;400;-;591,88;-;-;109;-;6011,93;-;-;6452,46;-;28,32;-;-;-;185276,55;-;-;-;25000;-;-;-;1033,02;-;-;-;-;-;-;495,85;3850,51;4661,14;-;-;-;-;-;-;-;-;53717,08;-;7000;-;10800;1260;-;-;-;-;-;-;-;1601,95;-;-;37,8;316564,75
351290 Cosmorama;-;-;-;-;-;-;-;60,26;-;-;-;-;157,69;-;-;-;-;1333,85;-;-;994,26;-;-;-;-;-;-;-;-;-;-;-;-;-;147,6;-;-;-;-;-;-;60,26;565,01;683,96;-;-;-;-;-;-;-;-;7675,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11678,31
351300 Cotia;-;-;-;-;-;-;-;-;-;-;-;-;1543,03;-;-;-;-;26828,85;-;-;22245,03;-;-;-;-;-;-;-;-;-;25000;-;-;-;3646;-;-;-;-;5100;-;-;13481,77;16320,03;-;-;-;-;-;-;-;-;189592;10000;10150;6600;48600;-;-;-;-;-;-;-;-;-;-;-;-;379106,71
351310 Cravinhos;-;-;-;-;-;-;-;267,3;-;-;-;-;440,27;-;-;-;-;5431,43;-;-;4154,29;-;-;-;-;-;-;-;-;-;-;-;-;-;668,25;-;-;-;-;-;-;267,3;2486,78;3010,32;-;-;-;-;-;-;-;-;34749;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;58974,94
351320 Cristais Paulista;-;-;-;-;-;-;-;59,68;-;-;-;-;97,31;-;-;-;-;903,88;-;-;943,94;-;-;-;-;-;-;-;-;-;-;-;-;-;149,21;-;-;-;-;-;-;59,68;558,6;676,2;-;-;-;-;-;-;-;-;7758,83;-;1400;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;18007,33
351330 Cruzália;-;-;-;-;-;-;-;-;-;-;-;-;90,09;-;-;-;-;344,72;-;-;356,4;-;-;-;-;-;-;-;-;-;-;-;-;-;53,6;-;-;-;-;1700;-;-;204,25;247,25;-;-;-;-;-;-;-;-;2787,42;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;13283,73
351340 Cruzeiro;-;-;-;-;-;670;-;637,75;-;45,6;960;-;1077,99;-;-;308;-;9717,32;-;-;10310,58;30000;151,04;-;-;-;328105,61;-;-;-;25000;-;-;-;1594,38;-;-;50000;-;5100;-;637,75;6015,08;7281,42;-;-;-;-;-;-;-;-;82907,5;-;5950;-;16200;420;-;109,6;-;-;-;-;-;985,17;-;-;96,6;584281,39
351350 Cubatão;-;39218;-;-;-;930;-;992,23;-;11,4;2080;-;1041,05;-;-;3966,18;-;20512,74;19464,17;-;15619,86;-;236;-;-;-;625044,76;-;-;-;21668,69;-;-;-;2480,58;-;-;-;-;-;-;1190,68;9272;11224;-;-;-;-;-;-;-;-;128990,33;-;21000;-;43200;2610;-;175,36;209,93;-;45;-;-;3774,56;-;-;583,8;975541,32
351360 Cunha;-;-;-;-;-;-;-;-;-;-;-;-;324,42;-;-;-;-;3078,53;-;-;3159,06;-;-;-;-;-;-;-;-;-;-;-;-;-;476,19;-;-;-;-;3400;-;-;1812,84;2194,49;-;-;-;-;-;-;-;-;24761,75;-;7000;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;62407,28
351370 Descalvado;-;-;-;-;-;-;-;257,57;-;-;-;-;509,84;-;-;-;-;5423,21;-;-;4110,98;-;-;-;-;-;-;-;-;-;-;-;-;-;643,92;-;-;-;-;6800;-;257,57;2418,38;2927,52;-;-;-;-;-;-;-;-;33483,67;-;9450;-;21600;-;-;-;-;-;-;-;-;-;-;-;-;87882,66
351380 Diadema;-;23755,3;-;-;-;-;-;-;-;806,55;5880;-;3014,27;-;-;1909;-;61858,16;-;-;51289,43;-;-;-;-;-;1532484,62;-;-;-;24714,97;-;-;-;8114,65;-;-;50000;-;16800;-;-;30370,63;36764,45;-;-;-;7,5;-;-;-;-;421961,58;10000;98000;8800;183600;1460;-;671,3;-;-;-;-;96500;10827,52;-;-;1625,4;2681215,33
351385 Dirce Reis;-;-;-;-;-;-;-;12,81;-;-;-;-;90,09;-;-;-;-;208,54;-;-;211,34;-;-;-;-;-;-;-;-;-;-;-;-;-;30,17;-;-;-;-;1700;-;12,81;117,09;141,74;-;-;-;-;-;-;-;-;2023,58;-;1400;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;11348,17
351390 Divinolândia;-;-;-;-;-;-;-;101,2;-;-;-;-;205,01;-;-;-;-;1583,29;-;-;1660,86;-;-;-;-;-;-;-;-;-;-;-;-;-;253;-;-;-;-;-;-;101,2;959,58;1161,6;-;-;-;-;-;-;-;-;13823,92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19849,66
351400 Dobrada;-;-;-;-;-;-;-;58,85;-;-;-;-;90,1;-;-;-;-;922,26;-;-;967,18;-;-;-;-;-;-;-;-;-;-;-;-;-;147,13;-;-;-;-;-;-;58,85;558,28;675,82;-;-;-;-;-;-;-;-;7650,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11128,97
351410 Dois Córregos;-;-;-;-;-;-;-;206,92;-;-;-;-;469,5;-;-;-;-;3063,7;-;-;3252,84;-;-;-;-;-;-;-;-;-;-;-;-;-;517,29;-;-;-;-;1700;-;206,92;1932,62;2339,48;-;-;-;-;-;-;-;-;26899,17;-;11200;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;67988,44
351420 Dolcinópolis;-;-;-;-;-;-;-;18,23;-;-;-;-;90,09;-;-;-;-;286,03;-;-;298,38;-;-;-;-;-;-;-;-;-;-;-;-;-;45,58;-;-;-;-;1700;-;18,23;172,74;209,11;-;-;-;-;-;-;-;-;2370,33;-;1400;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;12008,72
351430 Dourado;-;-;-;-;-;-;-;-;-;-;-;-;177,86;-;-;-;-;1154,63;-;-;1219,9;-;-;-;-;-;-;-;-;-;-;-;-;-;190,56;-;-;-;-;1700;-;-;716,38;867,2;-;-;-;-;-;-;-;-;9909,25;-;6300;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;38435,78
351440 Dracena;-;30725;-;-;-;-;-;-;-;-;840;-;839,46;-;-;4691,95;-;7456,38;1518,75;-;5602,99;-;132,16;-;-;-;290583,28;-;-;-;-;-;-;-;854,29;-;-;-;-;-;-;-;3239,03;3920,93;-;-;-;-;-;-;-;-;44423,17;-;4200;-;-;380;-;-;135;-;-;-;-;678,3;-;-;449,4;400670,09
351450 Duartina;-;-;-;-;-;-;-;106,98;-;-;-;-;268,79;-;-;-;-;1655,2;-;-;1739,79;-;-;-;-;-;-;-;-;-;-;-;-;-;267,44;-;-;-;-;5100;-;106,98;1011,12;1223,98;-;-;-;-;-;-;-;-;14366,74;-;7700;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;49747,02
351460 Dumont;-;-;-;-;-;-;-;59,48;-;-;-;-;97,46;-;-;-;-;862,81;-;-;923,45;-;35,4;-;-;-;5550,37;-;-;-;-;-;-;-;148,71;-;-;-;-;-;-;59,48;553,22;669,68;-;-;-;-;-;-;-;-;7732,83;-;2450;-;-;100;-;-;-;-;-;-;-;303,45;-;-;-;19546,34
351470 Echaporã;-;-;-;-;-;-;-;59,55;-;-;-;-;118,38;-;-;87;-;933,5;256,01;-;960,3;-;70,8;-;-;-;40538,37;-;-;-;-;-;-;-;148,88;-;-;-;-;3400;-;59,57;561,13;679,27;-;-;-;-;-;-;-;-;7741,5;-;5600;-;16200;50;-;-;-;-;-;-;-;-;-;-;-;77464,26
351480 Eldorado;-;-;-;-;-;-;-;-;-;-;-;-;202,93;-;-;-;-;1966,16;-;-;1986,33;-;-;-;-;-;-;-;-;-;-;-;-;-;307,69;-;-;-;-;4250;-;-;1160,11;1404,34;-;-;-;-;-;-;-;-;16253,25;-;6300;-;13500;-;-;-;-;-;-;-;-;-;-;-;-;47330,81
351490 Elias Fausto;-;-;-;-;-;-;-;127,51;-;-;-;-;190,17;-;-;-;-;1879,95;-;-;2005,16;-;-;-;-;-;-;-;-;-;-;-;-;-;318,77;-;-;-;-;5100;-;127,51;1191,06;1441,81;-;-;-;-;-;-;-;-;16576,08;-;7700;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;52858,02
351492 Elisiário;-;-;-;-;-;-;-;21,68;-;-;-;-;90,1;-;-;-;-;473,87;-;-;355,99;-;-;-;-;-;-;-;-;-;-;-;-;-;54,19;-;-;-;-;1700;-;21,68;205,6;248,88;-;-;-;-;-;-;-;-;3853,82;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;14525,81
351495 Embaúba;-;-;-;-;-;-;-;-;-;-;-;-;90,1;-;-;-;-;457,43;-;-;344,16;-;-;-;-;-;-;-;-;-;-;-;-;-;52,67;-;-;-;-;1700;-;-;199,42;241,4;-;-;-;-;-;-;-;-;2738,67;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;13323,85
351500 Embu das Artes;-;21021,2;-;-;-;130;-;-;-;8,55;3200;-;1471,24;-;-;1233;-;37077,18;-;-;30742,39;-;226,56;-;-;-;412105,86;-;-;-;42150,99;-;-;-;5000,77;-;-;-;-;11000;-;-;18538,78;22441,68;-;-;-;73;-;-;-;-;260040,08;-;20650;6600;37800;4910;-;172,62;-;-;200;-;-;2284,49;-;-;-;939078,39
351510 Embu-Guaçu;-;-;-;-;-;-;-;-;-;-;-;-;741,4;-;-;-;-;10492,94;-;-;8700,17;-;-;-;-;-;-;-;-;-;-;-;-;-;1455,15;-;-;-;-;5600;-;-;5344,15;6469,23;-;-;-;-;-;-;-;-;75667,58;-;7000;6600;21600;-;-;-;-;-;-;-;-;-;-;-;-;149670,62
351512 Emilianópolis;-;-;-;-;-;-;-;24,08;-;-;-;-;90,1;-;-;-;-;389,43;-;-;397,38;-;-;-;-;-;-;-;-;-;-;-;-;-;60,15;-;-;-;-;-;-;24,08;228,63;276,77;-;-;-;-;-;-;-;-;3964,81;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;12955,43
351515 Engenheiro Coelho;-;-;-;-;-;-;-;102,05;-;-;-;-;122,23;-;-;-;-;1407,88;-;-;1529,14;-;-;-;-;-;-;-;-;-;-;-;-;-;255,13;-;-;-;-;-;-;102,05;937,73;1135,15;-;-;-;-;-;-;-;-;13266,5;-;6300;-;16200;-;-;-;-;-;-;-;-;-;-;-;-;41357,86
351518 Espírito Santo do Pinhal;-;-;-;-;-;-;-;354,58;-;2,85;480;-;747,93;-;-;169;-;5376,85;-;-;5705,84;-;9,44;-;-;-;148242,83;-;-;-;-;-;-;-;886,44;-;-;-;-;-;-;425,49;3338,78;4041,68;-;-;-;23;-;-;-;-;46094,75;-;16450;-;21600;550;-;-;-;-;-;-;-;1791,06;-;-;33,6;256324,12
351519 Espírito Santo do Turvo;-;-;-;-;-;-;-;34,3;-;-;-;-;90,09;-;-;-;-;511,09;-;-;535,29;-;-;-;-;-;-;-;-;-;-;-;-;-;85,75;-;-;-;-;1700;-;34,3;319,6;386,88;-;-;-;-;-;-;-;-;4459;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;15656,3
355730 Estiva Gerbi;-;-;-;-;-;-;-;85,19;-;-;-;-;124,61;-;-;-;-;1215,42;-;-;1310,1;-;-;-;-;-;-;-;-;-;-;-;-;-;212,98;-;-;-;-;-;-;85,19;789,69;955,94;-;-;-;-;-;-;-;-;11074,92;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;23354,04
351520 Estrela d'Oeste;-;-;-;-;-;-;-;68,19;-;-;-;-;148,19;-;-;-;-;1081,63;-;-;1125,16;-;-;-;-;-;-;-;-;-;-;-;-;-;168,92;-;-;-;-;-;-;68,19;643,94;779,51;-;-;-;-;-;-;-;-;8783,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12867,4
351530 Estrela do Norte;-;-;-;-;-;-;-;-;-;-;-;-;90,09;-;-;-;-;475,51;-;-;354,48;-;-;-;-;-;-;-;-;-;-;-;-;-;52,71;-;-;-;-;1700;-;-;201,64;244,09;-;-;-;-;-;-;-;-;2740,83;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;13359,35
351535 Euclides da Cunha Paulista;-;-;-;-;-;-;-;88,51;-;-;-;-;131,87;-;-;-;-;1897,96;-;-;1431,93;-;-;-;-;-;-;-;-;-;-;-;-;-;221,27;-;-;-;-;4250;-;88,51;834,97;1010,75;-;-;-;-;-;-;-;-;12207;-;8400;-;24300;-;-;-;-;-;-;-;-;-;-;-;-;54862,77
351540 Fartura;-;-;-;-;-;-;-;128,62;-;-;-;-;260,19;-;-;-;-;1999,01;-;-;2092,61;-;-;-;-;-;-;-;-;-;-;-;-;-;321,54;-;-;-;-;-;-;128,62;1215,76;1471,71;-;-;-;-;-;-;-;-;16720,17;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;31838,23
351560 Fernando Prestes;-;-;-;-;-;-;-;46,63;-;-;-;-;120,45;-;-;-;-;723,82;-;-;758,18;-;-;-;-;-;-;-;-;-;-;-;-;-;116,58;-;-;-;-;1700;-;46,63;440,72;533,5;-;-;-;-;-;-;-;-;6062,33;-;4900;-;20800;-;-;-;-;-;-;-;-;-;-;-;-;36248,84
351550 Fernandópolis;-;-;-;-;-;-;-;542,46;-;-;-;-;1170,11;-;-;-;-;11512,65;-;-;8709,53;-;-;-;-;-;-;-;-;-;-;-;-;-;1356,15;-;-;-;-;5100;-;542,46;5103,88;6178,38;-;-;-;-;-;-;-;-;70519,58;-;8400;-;32400;-;-;-;-;-;-;-;-;-;-;-;-;151535,2
351565 Fernão;-;-;-;-;-;-;-;11,27;-;-;-;-;90,09;-;-;-;-;179,1;-;-;185,9;-;-;-;-;-;-;-;-;-;-;-;-;-;26,46;-;-;-;-;1700;-;11,27;102,84;124,49;-;-;-;-;-;-;-;-;1375,83;-;1050;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;10257,25
351570 Ferraz de Vasconcelos;-;-;-;-;-;-;-;-;-;-;-;-;1254,81;-;-;-;-;25971,66;-;-;21534,29;-;-;-;-;-;-;-;-;-;-;-;-;-;3569,35;-;-;-;-;-;-;-;13148,48;15916,58;-;-;-;-;-;-;-;-;185606,42;10000;14700;-;43200;-;-;-;-;-;-;-;-;-;-;-;-;334901,59
351580 Flora Rica;-;-;-;-;-;-;-;-;-;-;-;-;90,09;-;-;-;-;290,49;-;-;290,68;-;-;-;-;-;-;-;-;-;-;-;-;-;42,71;-;-;-;-;-;-;-;164,11;198,66;-;-;-;-;-;-;-;-;2471,96;-;1400;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;10348,7
351590 Floreal;-;-;-;-;-;-;-;26,03;-;-;-;-;90,1;-;-;-;-;578,46;-;-;429,41;-;-;-;-;-;-;-;-;-;-;-;-;-;62,92;-;-;-;-;-;-;26,03;242,01;292,96;-;-;-;-;-;-;-;-;3271,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5019,59
351600 Flórida Paulista;-;-;-;-;-;-;-;88,94;-;-;-;-;199,07;-;-;-;-;1982,31;-;-;1467,54;-;-;-;-;-;-;-;-;-;-;-;-;-;213,04;-;-;-;-;1700;-;88,94;822,23;995,33;-;-;-;-;-;-;-;-;11078,17;-;7700;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;31735,57
351610 Florínia;-;-;-;-;-;-;-;26,66;-;-;-;-;90,1;-;-;-;-;425,4;-;-;434,78;-;-;-;-;-;-;-;-;-;-;-;-;-;66,65;-;-;-;-;1700;-;26,66;252,23;305,33;-;-;-;-;-;-;-;-;3465,58;-;2100;-;5400;-;-;-;-;-;-;-;-;-;-;-;-;14293,39
351620 Franca;-;11733,75;-;460;166165,09;50;55126,78;2683,07;-;210,9;10040;-;4082,61;-;-;15053,87;-;54853,39;-;-;41878,24;-;290,28;-;-;-;1935163,49;-;-;-;30610,17;-;-;-;6707,69;-;-;-;-;-;56938;3219,69;24998,46;30261,29;-;-;-;-;-;-;-;-;348799,75;-;7700;-;27000;4250;-;19,18;389,88;72034,2;330;-;-;10473,8;392316,26;17130;193,2;3331163,04
