cod_ibge;municipio;censo2000;censo2010;censo2022;tc2000_2010;tc2010_2022
3527405;Lucélia;18316;19882;20061;0,82;0,07
3527504;Lucianópolis;2154;2249;2372;0,43;0,44
3527603;Luís Antônio;7160;11286;12265;4,66;0,7
3527702;Luiziânia;4274;5030;4701;1,64;-0,56
3527801;Lupércio;4230;4353;3981;0,29;-0,74
3527900;Lutécia;2897;2714;2666;-0,65;-0,15
3528007;Macatuba;15752;16259;16829;0,32;0,29
3528106;Macaubal;7385;7663;7481;0,37;-0,2
3528205;Macedônia;3761;3664;3963;-0,26;0,66
3528304;Magda;3421;3200;3165;-0,67;-0,09
3528403;Mairinque;39975;43223;49972;0,78;1,22
3528502;Mairiporã;60111;80956;93617;3,02;1,22
3528601;Manduri;8271;8992;9871;0,84;0,78
3528700;Marabá Paulista;3699;4812;4573;2,67;-0,42
3528809;Maracaí;13004;13332;12673;0,25;-0,42
3528858;Marapoama;2238;2633;3292;1,64;1,88
3528908;Mariápolis;3854;3916;3513;0,16;-0,9
3529005;Marília;197342;216745;237629;0,94;0,77
3529104;Marinópolis;2195;2113;1860;-0,38;-1,06
3529203;Martinópolis;22346;24219;24881;0,81;0,22
3529302;Matão;71753;76786;79033;0,68;0,24
3529401;Mauá;363392;417064;418261;1,39;0,02
3529500;Mendonça;3759;4640;6159;2,13;2,39
3529609;Meridiano;4025;3855;4572;-0,43;1,43
3529658;Mesópolis;1930;1886;1952;-0,23;0,29
3529708;Miguelópolis;19019;20451;19441;0,73;-0,42
3529807;Mineiros do Tietê;11410;12038;11230;0,54;-0,58
3529906;Miracatu;22383;20592;18553;-0,83;-0,87
3530003;Mira Estrela;2596;2820;3126;0,83;0,86
3530102;Mirandópolis;25936;27483;27983;0,58;0,15
3530201;Mirante do Paranapanema;16213;17059;15917;0,51;-0,58
3530300;Mirassol;48327;53792;63337;1,08;1,37
3530409;Mirassolândia;3741;4295;4669;1,39;0,7
3530508;Mococa;65574;66290;67681;0,11;0,17
3530607;Mogi das Cruzes;330241;387779;449955;1,62;1,25
3530706;Mogi Guaçu;124228;137245;153661;1;0,95
3530805;Mogi Mirim;81467;86505;92559;0,6;0,57
3530904;Mombuca;3107;3266;3722;0,5;1,1
3531001;Monções;2055;2132;1937;0,37;-0,8
3531100;Mongaguá;35098;46293;61951;2,81;2,46
3531209;Monte Alegre do Sul;6321;7152;8627;1,24;1,57
3531308;Monte Alto;43613;46642;47574;0,67;0,17
3531407;Monte Aprazível;18413;21746;22280;1,68;0,2
3531506;Monte Azul Paulista;19553;18931;18151;-0,32;-0,35
3531605;Monte Castelo;4089;4063;4222;-0,06;0,32
3531704;Monteiro Lobato;3615;4120;4138;1,32;0,04
3531803;Monte Mor;37340;48949;64662;2,74;2,35
3531902;Morro Agudo;25428;29116;27933;1,36;-0,35
3532009;Morungaba;9911;11769;13788;1,73;1,33
3532058;Motuca;3871;4290;4034;1,03;-0,51
3532108;Murutinga do Sul;3971;4186;3737;0,53;-0,94
3532157;Nantes;2269;2707;2660;1,78;-0,15
3532207;Narandiba;3743;4288;5713;1,37;2,42
3532306;Natividade da Serra;6952;6678;6999;-0,4;0,39
3532405;Nazaré Paulista;14410;16414;18217;1,31;0,87
3532504;Neves Paulista;8907;8772;9690;-0,15;0,83
3532603;Nhandeara;10194;10725;9852;0,51;-0,71
3532702;Nipoã;3267;4274;4750;2,72;0,88
3532801;Nova Aliança;4768;5891;6693;2,14;1,07
3532827;Nova Campina;7295;8515;8497;1,56;-0,02
3532843;Nova Canaã Paulista;2483;2114;2032;-1,6;-0,33
3532868;Nova Castilho;991;1125;1062;1,28;-0,48
3532900;Nova Europa;7307;9300;9311;2,44;0,01
3533007;Nova Granada;17020;19180;19419;1,2;0,1
3533106;Nova Guataporanga;2087;2177;2156;0,42;-0,08
3533205;Nova Independência;2063;3068;4609;4,05;3,45
3533254;Novais;3225;4592;4412;3,6;-0,33
3533304;Nova Luzitânia;2749;3441;2837;2,27;-1,6
3533403;Nova Odessa;42071;51242;62019;1,99;1,6
3533502;Novo Horizonte;32432;36593;38324;1,21;0,39
3533601;Nuporanga;6309;6817;7391;0,78;0,68
3533700;Ocauçu;4164;4163;4331;0;0,33
3533809;Óleo;2994;2673;2509;-1,13;-0,53
3533908;Olímpia;46013;50024;55075;0,84;0,8
3534005;Onda Verde;3413;3884;4771;1,3;1,73
3534104;Oriente;5884;6097;6085;0,36;-0,02
3534203;Orindiúva;4161;5675;6024;3,15;0,5
3534302;Orlândia;36004;39781;38319;1;-0,31
3534401;Osasco;652593;666740;743432;0,21;0,91
3534500;Oscar Bressane;2552;2537;2470;-0,06;-0,22
3534609;Osvaldo Cruz;29648;30917;31272;0,42;0,1
3534708;Ourinhos;93868;103035;103970;0,94;0,08
3534757;Ouroeste;6290;8405;10294;2,94;1,7
3534807;Ouro Verde;7148;7800;7779;0,88;-0,02
3534906;Pacaembu;12518;13226;14877;0,55;0,99
3535002;Palestina;9100;11051;11476;1,96;0,31
3535101;Palmares Paulista;8437;10934;9650;2,63;-1,04
3535200;Palmeira d'Oeste;10322;9584;8903;-0,74;-0,61
3535309;Palmital;20701;21186;19594;0,23;-0,65
3535408;Panorama;13649;14583;14964;0,66;0,22
3535507;Paraguaçu Paulista;39618;42278;40989;0,65;-0,26
3535606;Paraibuna;17009;17388;17667;0,22;0,13
3535705;Paraíso;5429;5898;6099;0,83;0,28
3535804;Paranapanema;15510;17808;19395;1,39;0,71
3535903;Paranapuã;3632;3815;4031;0,49;0,46
