Município;Internações
354770 SANTO ANASTACIO;54
354780 SANTO ANDRE;453
354790 SANTO ANTONIO DA ALEGRIA;5
354800 SANTO ANTONIO DE POSSE;16
354805 SANTO ANTONIO DO ARACANGUA;5
354810 SANTO ANTONIO DO JARDIM;5
354820 SANTO ANTONIO DO PINHAL;5
354830 SANTO EXPEDITO;2
354840 SANTOPOLIS DO AGUAPEI;4
354850 SANTOS;181
354860 SAO BENTO DO SAPUCAI;5
354870 SAO BERNARDO DO CAMPO;348
354880 SAO CAETANO DO SUL;150
354890 SAO CARLOS;182
354900 SAO FRANCISCO;4
354910 SAO JOAO DA BOA VISTA;64
354920 SAO JOAO DAS DUAS PONTES;4
354925 SAO JOAO DE IRACEMA;3
354930 SAO JOAO DO PAU D'ALHO;6
354940 SAO JOAQUIM DA BARRA;41
354950 SAO JOSE DA BELA VISTA;2
354960 SAO JOSE DO BARREIRO;8
354970 SAO JOSE DO RIO PARDO;51
354980 SAO JOSE DO RIO PRETO;340
354990 SAO JOSE DOS CAMPOS;380
354995 SAO LOURENCO DA SERRA;17
355000 SAO LUIS DO PARAITINGA;6
355010 SAO MANUEL;31
355020 SAO MIGUEL ARCANJO;21
355030 SAO PAULO;5352
355040 SAO PEDRO;39
355050 SAO PEDRO DO TURVO;2
355060 SAO ROQUE;39
355070 SAO SEBASTIAO;63
355080 SAO SEBASTIAO DA GRAMA;11
355090 SAO SIMAO;14
355100 SAO VICENTE;179
355110 SARAPUI;1
355120 SARUTAIA;2
355130 SEBASTIANOPOLIS DO SUL;1
355140 SERRA AZUL;9
355150 SERRANA;32
355160 SERRA NEGRA;28
355170 SERTAOZINHO;26
355180 SETE BARRAS;2
355190 SEVERINIA;17
355200 SILVEIRAS;8
355210 SOCORRO;35
355220 SOROCABA;315
355230 SUD MENNUCCI;4
355240 SUMARE;131
355250 SUZANO;99
355255 SUZANAPOLIS;4
355260 TABAPUA;11
355270 TABATINGA;17
355280 TABOAO DA SERRA;152
355290 TACIBA;7
355300 TAGUAI;4
355310 TAIACU;2
355320 TAIUVA;1
355330 TAMBAU;5
355340 TANABI;31
355350 TAPIRAI;9
355360 TAPIRATIBA;10
355370 TAQUARITINGA;30
355380 TAQUARITUBA;10
355385 TAQUARIVAI;1
355390 TARABAI;4
355395 TARUMA;17
355400 TATUI;62
355410 TAUBATE;137
355420 TEJUPA;4
355430 TEODORO SAMPAIO;35
355440 TERRA ROXA;4
355450 TIETE;28
355460 TIMBURI;2
355465 TORRE DE PEDRA;4
355470 TORRINHA;6
355475 TRABIJU;3
355480 TREMEMBE;23
355490 TRES FRONTEIRAS;10
355495 TUIUTI;3
355500 TUPA;61
355510 TUPI PAULISTA;14
355520 TURIUBA;1
355530 TURMALINA;3
355535 UBARANA;3
355540 UBATUBA;70
355550 UBIRAJARA;4
355560 UCHOA;10
355570 UNIAO PAULISTA;5
355580 URANIA;11
355590 URU;1
355600 URUPES;13
355610 VALENTIM GENTIL;10
355620 VALINHOS;82
355630 VALPARAISO;9
355635 VARGEM;5
355640 VARGEM GRANDE DO SUL;7
355645 VARGEM GRANDE PAULISTA;33
355650 VARZEA PAULISTA;50
355660 VERA CRUZ;4
355670 VINHEDO;2
355680 VIRADOURO;10
355690 VISTA ALEGRE DO ALTO;3
355700 VOTORANTIM;62
